clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
Asklepios Lungenklinik Gauting,Gauting,"Intensiv-, Langzeitbeatmungs- und Weaningstation (Beatmungsentwöhnung)",Atmungstherapeuten (DGP) (w/m/d) oder Gesundheits- und Krankenpfleger (w/m/d),pflegefachkraft,,"Vergütung nach Landesverbandstarifvertrag des VPKA Bayern , inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) sowie arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (soweit verfügbar) vorhanden,vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Atmungstherapeut (w/m/d), oder Gesundheits- und Krankenpfleger (w/m/d), gerne auch mit Intensivweiterbildung | Engagement, Belastbarkeit und Flexibilität und eine aufgeschlossene Persönlichkeit mit Freude an der Arbeit mit kranken Menschen. | Bereitschaft zur Fortbildung | Gesundheits- und Krankenpfleger (w/m/d) mit Bereitschaft, am nächsten Kurs „Weiterbildung zum Atmungstherapeuten“ in unserem Haus teilzunehmen",,5,,https://karriere.asklepios.com/Atmungstherapeuten-DGP-wmd-oder-Gesundheits-und-Krankenpfl-de-j18847.html
Asklepios Lungenklinik Gauting,Gauting,Pneumologie,Gesundheits- und Krankenpfleger (w/m/d) als Dauernachtwache,pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger bzw. Altenpfleger | Sozial- und Fachkompetenz | Ein hohes Maß an Selbständigkeit, Eigenverantwortung und Flexibilität | Einsatzbereitschaft und Offenheit gegenüber Veränderungsprozessen | Interesse an Fort- und Weiterbildungen",,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-wmd-als-Dauernachtwache-de-j19170.html
Asklepios Lungenklinik Gauting,Gauting,Pneumologie / Weaning / Intensiv,Gesundheits- und Krankenpfleger / Altenpfleger (w/m/d) für Pneumologie / Weaning / Intensiv,pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger oder Altenpfleger | Sozial- und Fachkompetenz | Ein hohes Maß an Selbständigkeit, Eigenverantwortung und Flexibilität | Einsatzbereitschaft und Offenheit gegenüber Veränderungsprozessen | Interesse an Fort- und Weiterbildungen",,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-Altenpfleger-wmd-fuer-Pneum-de-j3701.html
Asklepios Lungenklinik Gauting,Gauting,Palliativbereich,Gesundheits- und Krankenpfleger / Altenpfleger (w/m/d) für den Palliativbereich,fachweiterbildung,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger oder Altenpfleger mit Erfahrung im Palliativbereich oder der Onkologie | Wünschenswert mit einer Fachweiterbildung in der Palliativpflege oder Onkologie | Sozial- und Fachkompetenz | Ein hohes Maß an Selbständigkeit, Empathie, Eigenverantwortung und Flexibilität | Einsatzbereitschaft und Offenheit gegenüber Veränderungsprozessen | Interesse an Fort- und Weiterbildungen",mit Erfahrung im Palliativbereich oder der Onkologie,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-Altenpfleger-wmd-fuer-den-P-de-j24618.html
Asklepios Lungenklinik Gauting,Gauting,Thoraxchirurgie,Gesundheits- und Krankenpfleger / Altenpfleger (w/m/d) für die Thoraxchirurgie,pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger oder Altenpfleger | Sozial- und Fachkompetenz | Ein hohes Maß an Selbständigkeit, Eigenverantwortung und Flexibilität | Einsatzbereitschaft und Offenheit gegenüber Veränderungsprozessen | Interesse an Fort- und Weiterbildungen",,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-Altenpfleger-wmd-fuer-die-T-de-j22177.html
Asklepios Lungenklinik Gauting,Gauting,fachübergreifende Frührehabilitation,Gesundheits- und Krankenpfleger / Altenpfleger (w/m/d) für die fachübergreifende Frührehabilitation,pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger oder Altenpfleger | Sozial- und Fachkompetenz | Ein hohes Maß an Selbständigkeit, Eigenverantwortung und Flexibilität | Einsatzbereitschaft und Offenheit gegenüber Veränderungsprozessen | Interesse an Fort- und Weiterbildungen",,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-Altenpfleger-wmd-fuer-die-f-de-j21096.html
Asklepios Lungenklinik Gauting,Gauting,somnologische Station,Gesundheits- und Krankenpfleger / Altenpfleger (w/m/d) für die somnologische Station,pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger, Altenpfleger oder Medizinische Fachangestellte | Sozial- und Fachkompetenz | Ein hohes Maß an Selbständigkeit, Eigenverantwortung und Flexibilität | Einsatzbereitschaft und Offenheit gegenüber Veränderungsprozessen | Interesse an Fort- und Weiterbildungen",,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-Altenpfleger-wmd-fuer-die-s-de-j25113.html
Asklepios Lungenklinik Gauting,Gauting,Springerpool,Gesundheits- und Krankenpfleger / Altenpfleger (w/m/d) für unseren Springerpool,pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger oder Altenpfleger (m/w/d) | Sozial- und Fachkompetenz | Ein hohes Maß an Selbständigkeit, Eigenverantwortung und Flexibilität | Einsatzbereitschaft und Offenheit gegenüber Veränderungsprozessen | Bereitschaft zur interdisziplinären und stationsübergreifenden Zusammenarbeit | Interesse an Fort- und Weiterbildungen",,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-Altenpfleger-wmd-fuer-unser-de-j21394.html
Asklepios Lungenklinik Gauting,Gauting,Bronchoskopie,Gesundheits- und Krankenpfleger / Altenpfleger (w/m/d)/ Pflegefachmann/-frau Bronchoskopie,pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger, Pflegefachfrau/-mann oder Altenpfleger (m/w/d) | Fachkenntnisse im Umgang mit endoskopischen Geräten von Vorteil | Ausgeprägte Sozial- und Fachkompetenz, Selbständigkeit, Eigenverantwortung, Flexibilität und Organisationsfähigkeit | Interesse an Fort- und Weiterbildungen",vorzugsweise mit Erfahrung in der Pneumologie und der Bronchoskopie,5,,https://karriere.asklepios.com/Gesundheits-und-Krankenpfleger-Altenpfleger-wmd-Pflegefach-de-j21397.html
Asklepios Orthopädische Klinik Lindenlohe,Schwandorf,,Pflegefachkraft (w/m/d),pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachkraft oder gleichwertige Qualifikation | Gute pflegerische Fachkompetenz und Aufgeschlossenheit gegenüber modernen Pflegekonzepten | Engagement, Verlässlichkeit und Freude an der Arbeit im Team | Freundlichkeit und Kommunikationsbereitschaft gegenüber Patienten und Angehörigen",,5,,https://karriere.asklepios.com/Pflegefachkraft-wmd-de-j27478.html
Asklepios Stadtklinik Bad Tölz,Bad Tölz,Aufnahme- und Belegungssteuerung im Koordinationsstützpunkt,Pflegefachkraft (m/w/d) für die Aufnahme- und Belegungssteuerung im Koordinationsstützpunkt - Schlemmer Klinik Bad Tölz,pflegefachkraft,,Leistungsgerechte Vergütung und 30 Tage Urlaub pro Jahr,unklar,,teilzeit,"Sie verfügen über eine abgeschlossene dreijährige Pflegeausbildung als Pflegefachkraft (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) | Freude an strukturierter, planerischer Arbeit und an der Steuerung komplexer Abläufe | Sicherer Umgang mit Klinikinformationssystemen und MS Office | Organisationsstärke, Verlässlichkeit und ein klarer Blick für Prioritäten | Empathie, Serviceorientierung und ein professionelles Auftreten runden Ihr Profil ab",,4,Klinik nach Anzeigenort korrigiert,https://karriere.kirinus.de/stellenangebote/detail/j1098-pflegefachkraft-m/w/d-fuer-die-aufnahme-und-belegungssteuerung-im-koordinationsstuetzpunkt-schlemmer-klinik
Asklepios Stadtklinik Bad Tölz,Bad Tölz,Herzkatheterlabor,Pflegefachkraft (w/m/d) Herzkatheterlabor,pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachkraft, Gesundheits- und Krankenpfleger:in oder Altenpfleger:in | Berufserfahrung in den Bereichen Intensivmedizin, Anästhesie oder OP wünschenswert, jedoch nicht zwingend erforderlich | Flexibilität in der Arbeitszeitgestaltung | Bereitschaft zur Teamarbeit und kooperativen Zusammenarbeit mit anderen Berufsgruppen | Hohe Belastbarkeit und Fähigkeit, in stressigen Situationen ruhig zu bleiben | Teilnahme am Rufbereitschaftsdienst des Herzkatheterlabors","Berufserfahrung in den Bereichen Intensivmedizin, Anästhesie oder OP wünschenswert, jedoch nicht zwingend erforderlich",5,,https://karriere.asklepios.com/Pflegefachkraft-wmd-Herzkatheterlabor-de-j19964.html
Asklepios Stadtklinik Bad Tölz,Bad Tölz,Anästhesie,Pflegefachkraft / Anästhesietechnischer Assistent (w/m/d),ota_ata,,,unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Krankenschwester, Krankenpfleger:in, Pflegefachkraft, oder Anästhesietechnische:r Assistent:in | Relevante Berufserfahrung in der Anästhesie | Verantwortungsbewusstsein | Engagement, Teamfähigkeit und Flexibilität | Strukturierte und lösungsorientierte Arbeitsweise | Hohes Maß an Sozialkompetenz",Relevante Berufserfahrung in der Anästhesie,5,,https://karriere.asklepios.com/Pflegefachkraft-Anaesthesietechnischer-Assistent-wmd-de-j26931.html
Atos Starmed Klinik,München,OP,Operationstechnische/n Assistent*in / OTA (m/w/d),ota_ata,,,unklar,,vollzeit_teilzeit,"Sie haben eine erfolgreich abgeschlossene Ausbildung als OTA (m/w/d) oder zum/zur Gesundheits- und Krankenpfleger*in (m/w/d) mit OP-Erfahrung | oder eine Fachweiterbildung in der OP-Pflege. | Sie konnten idealerweise bereits Erfahrungen im operationstechnischen Bereich sammeln. | Sie verfügen über Team- und Kooperationsfähigkeit und arbeiten gerne mit anderen Berufsgruppen in der patientenorientierten Betreuung zusammen. | Sie zeichnen sich aus durch ein hohes Maß an Patienten- und Serviceorientierung. | Verantwortungsbewusstsein, Zuverlässigkeit sowie eine selbstständige und organisierte Arbeitsweise runden Ihr Profil ab.",Sie konnten idealerweise bereits Erfahrungen im operationstechnischen Bereich sammeln.,5,,https://atosklinikmuenchen.hr4you.org/job/view/592/operationstechnische-n-assistent-in-ota-m-w-d?page_lang=de
Augenklinik Herzog Carl Theodor,München,Station,Gesundheits- und Krankenpfleger/-in bzw. Pflegefachfrau/ Pflegefachmann (m/w/d) für die Station,pflegefachkraft,,,unklar,,in Vollzeit (100%) im Schichtdienst,abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege,,2,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate · pay_text auf der Seite nicht gefunden, geleert",https://www.augenklinik-muenchen.de/fileadmin/sites/augenklinik-muenchen.de/files/stellenangebote/augenklinik_gesundheits_krankenfplege_station_v02.pdf
Augenklinik Herzog Carl Theodor,München,OP-Ambulanz,Gesundheits- und Krankenpfleger/-in bzw. Pflegefachfrau/Pflegefachmann (m/w/d) für die OP-Ambulanz,pflegefachkraft,,,unklar,,in Vollzeit,abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege oder Kinderkrankenpflege,,2,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate · pay_text auf der Seite nicht gefunden, geleert",https://www.augenklinik-muenchen.de/fileadmin/sites/augenklinik-muenchen.de/files/stellenangebote/augenklinik_gesundheits_krankenpflege_op_v02.pdf
Augenklinik Herzog Carl Theodor,München,OP / Operationsdienst,OP-Schwester / MFA / OTA (m/w/d),ota_ata,,,unklar,,in Vollzeit,mehrjährige Erfahrung im Operationsdienst,mehrjährige Erfahrung im Operationsdienst,2,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate · pay_text auf der Seite nicht gefunden, geleert",https://www.augenklinik-muenchen.de/fileadmin/sites/augenklinik-muenchen.de/files/stellenangebote/augenklinik_op_mitarbeiter.pdf
Augustinum Klinik München,München,Elektrophysiologie (EPU) Labor,Gesundheits- und Krankenpfleger / MFA (m/w/d) Elektrophysiologie (EPU) Labor Augustinum Klinik München,pflegefachkraft,,Attraktive Vergütung nach Arbeitsvertragsrichtlinien der Diakonie Bayern (AVR- Bayern),nein,,Teilzeit oder Vollzeit,"Abgeschlossene Ausbildung als Pflegefachmann/-frau, Gesundheits- und Krankenpfleger (m/w/d), Krankenschwester (m/w/d) oder Medizinischer Fachangestellter (m/w/d)",,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.augustinum-gruppe.de/jobposting/4dcf393f029b1c63418df0fa063530e99c82ce070
Augustinum Klinik München,München,,Pflegefachhelferin (m/w/d) Augustinum Klinik,hilfskraft,,Attraktive Vergütung nach Arbeitsvertragsrichtlinien der Diakonie Bayern (AVR- Bayern),nein,,Teil- oder Vollzeit,Abgeschlossene 1-jährige Ausbildung zum Krankenpflegehelfer (m/w/d) oder Pflegefachhelfer (m/w/d),,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.augustinum-gruppe.de/jobposting/3a09c4b1f2f90ff9b5bd9dc2c67f7781111bedb60
Augustinum Klinik München,München,,Pflegefachkraft (m/w/d),pflegefachkraft,,Attraktive Vergütung nach Arbeitsvertragsrichtlinien der Diakonie Bayern (AVR- Bayern),nein,,Teil- oder Vollzeit,"Abgeschlossene Ausbildung als Pflegefachmann/-frau, Gesundheits- und Krankenpfleger (m/w/d), Krankenschwester (m/w/d) oder Medizinische Fachangestellte (m/w/d)",Berufserfahrung in der Pflege,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.augustinum-gruppe.de/jobposting/7e8c10b3469cc282dad1d21ceaa03e5cdfe7ff610
Augustinum Klinik München,München,Überwachungsstation / Nothilfe / Chest Pain Unit,Pflegefachkraft (m/w/d) Überwachungsstation / Nothilfe / Chest Pain Unit,pflegefachkraft,,Attraktive Vergütung nach Arbeitsvertragsrichtlinien der Diakonie Bayern (AVR- Bayern),nein,,Teil- oder Vollzeit,"Abgeschlossene Ausbildung als Pflegefachmann/Pflegefachfrau, Gesundheits- und Krankenpfleger (m/w/d) oder Krankenschwester (m/w/d)","Fachweiterbildung und/oder Berufserfahrung im Bereich von Überwachungsstationen (IMC, ICU, CCU etc.) wünschenswert",4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.augustinum-gruppe.de/jobposting/a7081786228ebcec4f87ef68d7c48064d7c861e20
Benedictus Krankenhaus Feldafing,Feldafing,Geriatrie,"Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (m/w/d) für die Geriatrie in Voll- oder Teilzeit, unbefristet",pflegefachkraft,,"Leistungsgerechtes Gehalt in Anlehnung an den AVR sowie attraktive Sonderzulagen; 500,00 EUR brutto ""Umzugsprämie""",ja,Unterstützung bei der Suche nach einer Wohnung mittels internem Wohnungsvermittler (nach Möglichkeit auch Mitarbeiterwohnungen),"Voll- oder Teilzeit, unbefristet","examinierter Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (w/m/d)",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://jobs.smartrecruiters.com/ArtemedSE/744000129132390
Benedictus Krankenhaus Feldafing,Feldafing,Neurologie,"Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (m/w/d) für die Neurologie in Voll- oder Teilzeit, unbefristet",pflegefachkraft,,Leistungsgerechtes Gehalt in Anlehnung an den AVR sowie attraktive Sonderzulagen,ja,Unterstützung bei der Suche nach einer Wohnung mittels internem Wohnungsvermittler (nach Möglichkeit auch Mitarbeiterwohnungen),"Voll- oder Teilzeit, unbefristet","examinierter Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (m/w/d)",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://jobs.smartrecruiters.com/ArtemedSE/744000129134508
Benedictus Krankenhaus Feldafing,Feldafing,Orthopädie,"Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (m/w/d) für die Orthopädie in Voll- oder Teilzeit, unbefristet",pflegefachkraft,,"Leistungsgerechtes Gehalt in Anlehnung an den AVR sowie attraktive Sonderzulagen; 500,00 EUR brutto ""Umzugsprämie""; ""Startprämie"" bis zu max. 2.000,00 EUR brutto",ja,Unterstützung bei der Suche nach einer Wohnung mittels internem Wohnungsvermittler (nach Möglichkeit auch Mitarbeiterwohnungen),"Voll- oder Teilzeit, unbefristet","examinierter Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (m/w/d)",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://jobs.smartrecruiters.com/ArtemedSE/744000129137948
Benedictus Krankenhaus Feldafing,Feldafing,"Stationäres Schmerzzentrum, Dauernachtdienst","Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (m/w/d) im Dauernachtdienst für das stationäre Schmerzzentrum in Voll- oder Teilzeit, unbefristet",pflegefachkraft,,Leistungsgerechtes Gehalt,ja,Unterstützung bei der Suche nach einer Wohnung mittels internem Wohnungsvermittler (nach Möglichkeit auch Mitarbeiterwohnungen),"Voll- oder Teilzeit, unbefristet","examinierter Gesundheits- und Krankenpfleger, Pflegefachfrau/mann oder Altenpfleger (w/m/d)",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://jobs.smartrecruiters.com/ArtemedSE/744000117268906
Benedictus Krankenhaus Tutzing,Tutzing,allgemeinpflegerische Stationen,Advanced Practice Nurse (m/w/d),pflegefachkraft,,Bis zu 2.000 € brutto „Startprämie“ (sofern keine Kündigung/Beendigung innerhalb der ersten sechs Monate),ja,"Mitarbeiterwohnungen bei Verfügbarkeit, sowie Unterstützung bei der Wohnungssuche",vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) | abgeschlossenes wissenschaftliches Hochschulstudium (M.A./M.Sc.) in Pflegewissenschaften, Advanced Practice Nursing",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://api.smartrecruiters.com/v1/companies/ArtemedSE/postings/744000112960222
